Date,Open,High,Low,Adj Close,Volume,Prev Day,Target,Adj Close Change,headline_score
2024-07-23,267.5299987792969,267.70001220703125,263.8599853515625,263.7586364746094,8109200,266.667236328125,0,-1.0907226150334792,-0.453087880497887
2024-07-24,256.07000732421875,257.20001220703125,253.1300048828125,253.17999267578125,13065900,263.7586364746094,0,-4.010728877060476,-0.5672208439736139
2024-07-25,255.38999938964844,258.2200012207031,252.6999969482422,252.7516632080078,8573300,253.17999267578125,0,-0.1691798246956866,-0.1574596047401428
2024-07-26,255.58999633789062,261.20001220703125,255.58999633789062,258.4493713378906,7062200,252.7516632080078,1,2.254271270687447,0.553975886768765
2024-07-29,260.32000732421875,262.7099914550781,258.5799865722656,260.5810546875,6068100,258.4493713378906,1,0.8247972663173897,0.26128989999944513
2024-07-30,263.2300109863281,264.29998779296875,261.010009765625,262.0751953125,5941800,260.5810546875,1,0.5733880487941878,-0.013560998439788818
2024-07-31,264.5400085449219,266.3599853515625,264.25,264.6352233886719,7642500,262.0751953125,1,0.9768295977493402,-0.3622217433793204
2024-08-01,266.3299865722656,267.0,264.17999267578125,264.8941955566406,7269700,264.6352233886719,1,0.09786005228351602,-0.9702975630760193
2024-08-02,263.8299865722656,267.9599914550781,262.8800048828125,265.5416259765625,7017900,264.8941955566406,1,0.24441095002529778,0.09715178379645714
2024-08-05,261.45001220703125,262.9200134277344,254.50999450683594,255.44114685058594,9631300,265.5416259765625,0,-3.8037272268823363,0.11774060401049527
2024-08-06,256.5,260.489990234375,255.77000427246094,257.25408935546875,21586800,255.44114685058594,1,0.7097300208815716,-0.015201103687286378
2024-08-07,259.6600036621094,262.0299987792969,256.30999755859375,255.5208282470703,12908600,257.25408935546875,0,-0.6737545407892287,-0.9933246225118637
2024-08-08,258.1300048828125,260.45001220703125,257.9200134277344,258.81793212890625,8223700,255.5208282470703,1,1.290346428686373,0.0
2024-08-09,259.1700134277344,261.5199890136719,259.010009765625,259.26708984375,7228100,258.81793212890625,1,0.17354196100294317,0.10074926614761352
